payment_id,order_id,payment_date,amount,status,method
5001,1001,2025-05-02,197.00,succeeded,card
5002,1002,2025-05-03,149.00,succeeded,bank_transfer
5003,1003,2025-05-05,99.00,pending,card
5004,1004,2025-05-08,347.00,succeeded,invoice
5005,1005,2025-05-11,59.00,refunded,card
5006,1006,2025-05-14,158.00,succeeded,bank_transfer
5007,1007,2025-05-18,158.00,succeeded,card
5008,1008,2025-05-20,298.00,pending,invoice
5009,1009,2025-05-24,89.00,succeeded,card
5010,1010,2025-06-01,188.00,succeeded,bank_transfer
5011,1011,2025-06-03,347.00,succeeded,invoice
5012,1012,2025-06-07,79.00,failed,card
